,original_text,text
26,"RT @1_Hoof_Hearted: @TuckerCarlson
@JRubinBlogger #Bigot

I'm a #white #Trump supporter
My daughter is half #hispanic
I have #AfricanAmeric…",a Donald Trump supporter My daughter is half have
27,Just What I (cloud) Seeded #ConspiracySongs @midnight,Just What I cloud Seeded
28,"RT @SaraMurray: If you have not yet read the New Yorker cover story on the 5 American hostages, make it your long read this evening http://…",If you have not yet read the New Yorker cover story on the 5 American hostages make it your long read this evening
29,RT @ladyofcanoe: #RealLifeMagicSpells  Bank Accountus Enlargus, Bank Accountus Enlargus
30,"RT @KyleNeven1: OMG, remember when everyone was really worried about gluten??? https://t.co/nMxNtZc6nk",OMG remember when everyone was really worried about gluten
31,"RT @babysgramma: @upayr Obama rules by exec order, against wishes of population. How many times is irrelevant. Trump. Case closed.",Obama rules by exec order against wishes of population How many times is irrelevant Trump Case closed
32,RT @heal247: Proof Our Mainstream Media Has Become A Joke! [WATCH from @LeeCamp ] : https://t.co/RmIULayZZf,Proof Our Mainstream Media Has Become A Joke WATCH from
33,RT @FilmFatale_NYC: YASSSSSSSSSSSSSSS! #BlackPantherSoLit #BlackPanther #BlackExcellence https://t.co/YIN26ealtb,YASSSSSSSSSSSSSSS
34,RT @cpmonitoronline: .@kmadzia wechselt von @C3_content zu @fischerAppelt  https://t.co/c7kGj4xn2l https://t.co/vJX0itbGi6,wechselt von zu
35,RT @justenoughtrope: JET turns 200; come join the party! Plus #RogueOne &amp; #BladeRunner2049 talk! #podernfamily https://t.co/C48sFvkfpP http…,JET turns 200 come join the party Plus   talk
36,RT @neus2100: Obama's Legacy! https://t.co/8gnO56BKKk,Obamas Legacy
37,Trump appears to encourage gun owners to take action if Clinton appoints anti-gun judges https://t.co/azCdwAruyB,Trump appears to encourage gun owners to take action if Clinton appoints antigun judges
38,"RT @mortreport: Leonard Fournette showing up at 240 lbs, then having a weak 28.5 inch vertical jump are more red flags after a season with…",Leonard Fournette showing up at 240 lbs then having a weak 285 inch vertical jump are more red flags after a season with
39,#HowToConfuseAMillennial Let them WATCH what Muslims think about women's rights! https://t.co/J994mUkbJl,Let them WATCH what Muslims think about womens rights
40,Obama on Trump winning: 'Anything's possible'  #politics,Obama on Trump winning Anythings possible
41,"RT @stormynights10: #TrumpsFavoriteHeadline Trump's Lingerie Bedroom Line Collection, with lead model Ivanka Trump",Trumps Lingerie Bedroom Line Collection with lead model Ivanka Trump
42,"RT @Inked1BNA: WAVE OF ACTION
OCCUPY AMERICA 
MANTHE PITCH FORKS
HIT THE STRETS OF AMERICA
STRONGER TOGEATHER https://t.co/5AkKx6xgZN",WAVE OF ACTION OCCUPY AMERICA  MANTHE PITCH FORKS HIT THE STRETS OF AMERICA STRONGER TOGEATHER
43,love actually *)) https://t.co/XIFd8XZF4n,love actually
44,"RT @Crystal1Johnson: 3-5 years?! That's all? For 40,000 lives she ruined?? https://t.co/WLaeDJUUlz",35 years Thats all For 40000 lives she ruined
45,RT @TodayPittsburgh: State Police Telling Westmoreland Co. Residents To Lock Their Vehicles After Break-Ins  #news,State Police Telling Westmoreland Co Residents To Lock Their Vehicles After BreakIns
46,RT @ScreamyMonkey: #News #US Report: NYC courthouses inaccessible for disabled people (The Arizona Republic) http://t.co/h2T6ooTcnu,Report NYC courthouses inaccessible for disabled people The Arizona Republic
47,"RT @rapstationradio: Playing now on #RAPStationRadio - ""Little Bit of This (Original Mix) by GTA feat. Vince Staples @HotWorldPowered https…",Playing now on  Little Bit of This Original Mix by GTA feat Vince Staples
48,RT @ShelsABoss: Phat ass pum pum!! https://t.co/37rFXJFLkQ,Phat ass pum pum
49,RT @RundownLive: Who Is Really Causing Our Addiction Epidemic? Russell Brand The Trews (E378) https://t.co/rJIediuEaf,Who Is Really Causing Our Addiction Epidemic Russell Brand The TrewsE378
50,RT @MaryhamptonLou: @Conservatexian He told the truth!,He told the truth
51,RT @ClickHole: Jay Z said WHAT?! https://t.co/ZLhSR5g3SN https://t.co/iJbWXPcFn0,Jay Z said WHAT
52,It's the End of the World as We Blow It #EarthDaySongs @midnight https://t.co/T6JHdRUMwC,Its the End of the World as We Blow It
53,RT @DJBOSSCHIC: Who do these companies make they money off of Indy or major artists,Who do these companies make they money off of Indy or major artists
54,"RT @Grummz: CNN: ""we got played""
Translation: Trump didn't say what we wanted him to say and be all racist @charliespiering @CanuckCon @rea…",CNN we got played Translation Trump didnt say what we wanted him to say and be all racist
55,RT @WorldTruthTV: After 56 Years This Woman Learns That One Simple Mistake In The Hospital Changed The Course Of Her Entire Life https://t.…,After 56 Years This Woman Learns That One Simple Mistake In The Hospital Changed The Course Of Her Entire Life
56,RT @gerfingerpoken2: Anchors Away -- Obama's Sequestration Sinks U.S. Navy #PJNET American Thinker -  https://t.co/fv5jhOzRiX …  https://t.…,Anchors Away  Obamas Sequestration Sinks US Navy American Thinker
57,"🚨🚨#BREAKING 🚨🚨
Baltimore Police say that multiple people have been shot in east Baltimore
Another act of terrorism??
https://t.co/nTywpgWXq9", Baltimore Police say that multiple people have been shot in east Baltimore Another act of
58,"RT @CornellWBrooks: If Sen. Sessions wouldn't call grabbing women's genitalia an assault, we can't call him our AG. WATCH--then call repeat…",If Sen Sessions wouldnt call grabbing womens genitalia an assault we cant call him our AG WATCHthen call repeat
59,RT @BlastingNews: Trump sued for violating Constitution with foreign financial interests https://t.co/JdG5JYwf7E https://t.co/ZJYkySmxW6,Trump sued for violating Constitution with foreign financial interests
60,"RT @iluvscoops: The action is deadly, the romance is sweet. #ArtKNB @rebekahlyn1 https://t.co/ePTioGJ82G https://t.co/wDfvTEkZ5m",The action is deadly the romance is sweet
61,RT @MattMurph24: That's kinda the point. https://t.co/H7vXZ3CV7U,Thats kinda the point
62,Vice President Joe Biden talks up Hillary Clinton in Parma https://t.co/mvdEtONoqH #politics,Vice President Joe Biden talks up Hillary Clinton in Parma
63,"RT @THETXEMBASSY: It is time we stopped sacrificing our national security on the spurious altar of “diversity.” 
https://t.co/TxpctcJ7Yz
#B…",It is time we stopped sacrificing our national security on the spurious altar of
64,"RT @XLNB: 6yr Old Me: Where you going Dad? 
Dad: See a man about a horse/cow

*he never, ever came back home with a horse or a cow* https:/…",6yr Old Me Where you going Dad  Dad See a man about a horsecow  he never ever came back home with a horse or a cow
65,"RT @Nettaaaaaaaa: The more I ask, the more I realize my people are going through it. And sometimes all it takes is a listening ear.",The more I ask the more I realize my people are going through it And sometimes all it takes is a listening ear
66,http://t.co/d3YEkKvA4X her face hahahah,her face hahahah
67,RT @beforeitsnews: Is the NSA the Real President of the United States? https://t.co/9xfkfdxMSK https://t.co/7WfE4W7NwH,Is the NSA the Real President of the United States
68,#MakeTVShowsAustralian @midnight  Gilmore Sheilas https://t.co/VHXDymXIZw, Gilmore Sheilas
69,@strawbswinger Merry Christmas!,Merry Christmas
70,"Finally, no more Muslim apologists in the White House!
#InaugurationDay https://t.co/aiRzFf5yuu",Finally no more Muslim apologists in the White House
71,"RT @RetireTheLeft: No More Muslim immigration! Bring in those who ""love the USA."" #RT https://t.co/LKIIEV0SZc #STOPIslam #TCOT #MakeDCListe…",No More Muslim immigration Bring in those who love the USA
72,Vice presidential candidate Mike Pence returns to Virginia for rally https://t.co/YkWn2w9upg,Vice presidential candidate Mike Pence returns to Virginia for rally
73,"RT @Mr_Nielsen_5309: More proof that @HillaryClinton &amp; her campaign have abandoned the middle class when Bill mocks ""The Coal People"".https…",More proof that Hillary Clinton   her campaign have abandoned the middle class when Bill mocks The Coal People
74,"RT @RealAlexJones: As Megyn Kelly looks to jump ship, her tarnished reputation underscores the failed effort to denature Fox News.
 - https…",As Megyn Kelly looks to jump ship her tarnished reputation underscores the failed effort to denature Fox News
75,RT @TYCASHH: Stay in the will of #God.. There's no better place to be.,Stay in the will of Theres no better place to be
76,"RT @SabineBuerger: Aus der Reihe perfide Push-Mitteilungen, von @zeitonline. Wer drauftippt muss ins Digital-Detox-Camp 😏 https://t.co/sfDd…",Aus der Reihe perfide PushMitteilungen von Wer drauftippt muss ins DigitalDetoxCamp
77,RT @BarbieKeleigh: I love this! 😄❤️🇺🇸 #LesDeplorables #Trump https://t.co/TZsD3IxHPe,I love this  Donald Trump
78,RT @Broke2dope: Check it out! broke2dope will post your music on the top indie hip hop site... for $5 on #Fiverr https://t.co/02xg95t8XM,Check it out broke2dope will post your music on the top indie hip hop site for 5 on
79,I'm in the middle of your picture,Im in the middle of your picture
80,"RT @asamjulian: Man asks Trump, ""After you become POTUS, how long will it be before you CLEAN HOUSE (FBI, DOJ) from the top down?"" #NH

Peo…",Man asks Trump After you become POTUS how long will it be before you CLEAN HOUSE FBI DOJ from the top down
81,RT @FPRNRadio: By The Rundown Live Lily Allen threatened Tommy Robinson with legal action because she lost an argument on... https://t.co/p…,By The Rundown Live Lily Allen threatened Tommy Robinson with legal action because she lost an argument on
82,Rocket White Power #ProblematicKidsShows @midnight,Rocket White Power
83,"RT @JJohnsonLaw: .@nytimes puts ""Trump visits black church for first time"" on front page. Still don't see mention of IRS fining him for bri…",puts Trump visits black church for first time on front page Still dont see mention of IRS fining him for bri
84,RT @RealJack: VIDEO: Ben Shapiro just won the Transgender debate FOREVER [must watch] https://t.co/WGcwvrwsa7,VIDEO Ben Shapiro just won the Transgender debate FOREVER must watch
85,RT @yiquai: @EvaKBartlett on The Media and Syria @21WIRE on https://t.co/FTaNN60rGV  @VanessaBeeley @RadioACR @Jay_D007 @TulsiGabbard @Reni…,on The Media and Syria on
86,"RT @sean_spicier: Sure, let's see what the CBO says, they were only off by 8 million last time.",Sure lets see what the CBO says they were only off by 8 million last time
87,"RT @Pamela_Moore13: People starting to wake up!
Black Americans Chant 'Hillary Is Racist' Outside Clinton Fundraiser in #Miami https://t.co…",People starting to wake up Black Americans Chant Hillary Is Racist Outside Clinton Fundraiser in
88,"RT @GMEAgency: Subscribe to stay updated on news, deals and more! https://t.co/jR4xsb9dsq #Fameviews",Subscribe to stay updated on news deals and more
89,"RT @KellyannePolls: Divisions in Democratic ranks. #crackup via @BuzzFeedNews
https://t.co/Du9irf0k6P",Divisions in Democratic ranks via
90,RT @ZaibatsuNews: Her are the Obama-era gun restrictions Trump has been easing https://t.co/lP5EVOJLGO #p2 #ctl https://t.co/EPC9Ti6IPp,Her are the Obamaera gun restrictions Trump has been easing
91,"RT @catheternebula: Im trying to put together a cheese board for tonights soiree, where is your fromanger?  #UnlikelyThingsHeardAtWalmart",Im trying to put together a cheese board for tonights soiree where is your fromanger
92,"😬 😬 😬 I'm gonna kill someone today!!! Actually not, but still I'm pretty angry",   Im gonna kill someone today Actually not but still Im pretty angry
93,"#MichelleObama addresses Melania Trump’s plagiarism and does a killer impression of Barack 
#blackgirlsmagic https://t.co/6hygCFL8SH",addresses Melania Trumps plagiarism and does a killer impression of Barack
94,RT @jimmylemons: assisted suicide is legal in Washington state https://t.co/CoQ6hSiE31,assisted suicide is legal in Washington state
95,"Hillary will take selected notes from reporters she's allowed on her plane and CNN will call it a ""Press Conference."" FAKE! #HackingHillary",Hillary will take selected notes from reporters shes allowed on her plane and CNN will call it a Press Conference FAKE
96,RT @I_am_not_E: #ThingsYouCantIgnore the elephant in the room. Particularly when it's standing on your toes.,the elephant in the room Particularly when its standing on your toes
97,RT @thinkprogress: Kellyanne Conway’s twisted vision of the feminist movement in America  https://t.co/xorkkUbeLV https://t.co/biG1wakPbu,Kellyanne Conways twisted vision of the feminist movement in America
98,RT @TodayPittsburgh: #sports 2015 Steelers Fan Blitz takes over Heinz Field,2015 Steelers Fan Blitz takes over Heinz Field
99,"RT @jimmylemons: Comey bought by progressives,,,FBI=clinton cops",Comey bought by progressivesFBIclinton cops
100,I’m still learning myself. –Mulan,Im still learning myself Mulan
101,RT @mcgilh: He probably ordered it! John McCain admits he gave FBI the Trump smear dossier; angry Americans want him removed  https://t.co/…,He probably ordered it John McCain admits he gave FBI the Trump smear dossier angry Americans want him removed
102,A high school student was suspended for posting a picture of dirty water in his school bathroom,A high school student was suspended for posting a picture of dirty water in his school bathroom
103,RT @indigenous01: Oops: Bill Clinton LEAK spills beans about OBAMA https://t.co/pKNlMrXDHr via @AllenWest,Oops Bill Clinton LEAK spills beans about OBAMA via
104,"Walls work
Even non-existent yet
https://t.co/wgca5HrFEw https://t.co/wH1uLMj4Zd",Walls work Even nonexistent
105,RT @hannibalburess: Waiting people play vr is almost as fun as playing vr.    @TonyTrimm https://t.co/qqCPs0qNqW,Waiting people play vr is almost as fun as playing vr
106,Life is all about finding people who are your kind of crazy 😝,Life is all about finding people who are your kind of crazy
107,"RT @billsoltis: DON'T FORGET TONIGHT AT 9:30 EST Donald Trump Rally in Colorado Springs, CO 9/17/16 https://t.co/XAvljQnIoR via @YouTube",DONT FORGET TONIGHT AT 930 EST Donald Trump Rally in Colorado Springs CO 91716 via
108,RT @DCClothesline: The United States Is On The Precipice Of Widespread Civil Unrest https://t.co/LlQ23MT2L4,The United States Is On The Precipice Of Widespread Civil Unrest
109,#IfICouldntLie I'd become mute,Id become mute
110,"RT @Cernovich: They are young, they are horny, and they are coming to the West. https://t.co/PHZyNMSVdV",They are young they are horny and they are coming to the West
111,RT @RMK_II: #ThingsYouCantIgnore Hellno Kitty @WorldOfHashtags https://t.co/84AWsAomdh,Hellno Kitty
112,RT @BreitbartNews: 😍😍😍 https://t.co/FETrux4Lxv,
113,New Ohio poll puts Hillary Clinton ahead of Donald Trump by 9 points after news of Trump's vulgar talk https://t.co/cqcwh75RvK #politics,New Ohio poll puts Hillary Clinton ahead of Donald Trump by 9 points after news of Trumps vulgar talk
114,I love  shaking babies.  #OffendEveryoneIn4Words #Hobbies,I love  shaking babies
115,RT @WashDCOnline: Mitch McConnell gooses Capitol Hill debate on NSA surveillance  #politics,Mitch McConnell gooses Capitol Hill debate on NSA surveillance
116,The $19 trillion national debt is only the tip of the iceberg - Convention of States https://t.co/lNy9u1BxGJ #WAKEUPAMERICA #PJNET #CCOT,The 19 trillion national debt is only the tip of the iceberg  Convention of States
117,RT @joeinthejeep: Any Questions?-&gt; Lady Gaga Slammed for 'Nazi'-Like Uniform at Clinton Rally https://t.co/1HPuLEacmZ via @BreitbartNews,Any Questionsgt Lady Gaga Slammed for NaziLike Uniform at Clinton Rally via
118,"RT @KLSouth: Fox News Analyst and Clinton Operative, Doug Schoen, Accepted Millions of Dollars to Agitate for War with Russia https://t.co/…",Fox News Analyst and Clinton Operative Doug Schoen Accepted Millions of Dollars to Agitate for War with Russia
119,RT @im_srishabh21: #IHaveARightToKnow Why People Drive Slow In Fastlane. @worldofhashtags https://t.co/ecUvSwNui6,Why People Drive Slow In Fastlane
120,RT @MattaAbraham1: Donald Trump offers retired Lt. Gen. Michael Flynn job https://t.co/g1zLTtflhj via @MailOnline,Donald Trump offers retired Lt Gen Michael Flynn job via
121,…a beam of light will fill your head and you'll remember what's been said by all the good men this world's ever known.  – The Moody Blues,a beam of light will fill your head and youll remember whats been said by all the good men this worlds ever known   The Moody Blues
122,"RT @markflesberg: OBAMA IS A TERRORIST !!! SECRETLY GAVE 
$100 MILLION TO IRAN. CREATED ISIS.
@HillaryClinton BELONGS IN PRISON. https://t.…",OBAMA IS A TERRORIST  SECRETLY GAVE  100 MILLION TO IRAN CREATED ISIS BELONGS IN PRISON
123,Johnnie Walker Black Sabbath #DrunkBands @midnight,Johnnie Walker Black Sabbath
124,RT @Honeys_MoneyMMG: 😂😂😂 6/30 https://t.co/N3MJi9rR0c,630
125,choosing a pizza with friend is hard like you're a jedi and he's sith.lol 😂,choosing a pizza with friend is hard like youre a jedi and hes sithlol
126,"RT @tpartynews: 💥💥💥Trump raises $5 mil in small donations in one day!!!
Hillary gets millions in donations from foreign countries! https://…",Trump raises 5 mil in small donations in one day Hillary gets millions in donations from foreign countries
127,RT @Always_Trump: So THAT'S why Hillary thinks everyone's a racist! Great ad. #DebateNight #TrumpPence16 #Trump @EvilHillaryPics https://t.…,So THATS why Hillary thinks everyones a racist Great ad Donald Trump
128,"RT @ScottAdamsSays: @CNN adds the word ""racial"" to Trump's quote. Deeply irresponsible. Crosses the line.  #Trump https://t.co/Q0vDIEndFf",adds the word racial to Trumps quote Deeply irresponsible Crosses the line  Donald Trump
129,"RT @realDonaldTrump: Thank you to all of the men and women who protect &amp; serve our communities 24/7/365! 
#LawEnforcementAppreciationDay 
h…",Thank you to all of the men and women who protect   serve our communities 247365   h
130,RT @cupcake4120: I live in Mich now. All the Hillary supporters for now are digging in except 2 couples who yay-Trump all the way! https://…,I live in Mich now All the Hillary supporters for now are digging in except 2 couples who yayTrump all the way
131,RT @MidwestRadio_FM: #NowPlaying  Kanye West - Niggas In Paris - https://t.co/0Qv1KMY0xy, Kanye West  Niggas In Paris
132,RT @ptrmsk: @eshaLegal lots of pics here https://t.co/JdNbARmzOd,lots of pics here
133,@johannesvogel würde Frau Merkel 4. Amtszeit schaffen? #Merkelmussbleiben,wrde Frau Merkel 4 Amtszeit schaffen
134,RT @DarkStream: Former McClatchy Editor: 'We Assigned a Reporter to Go to Kenya' After Clinton Operative Urged Birther Investigation https:…,Former McClatchy Editor We Assigned a Reporter to Go to Kenya After Clinton Operative Urged Birther Investigation
135,RT @craigflynn1: Another brick in the Wall-e #AddASongRuinAMovie,Another brick in the Walle
136,RT @tmorkes: First 100 people to sign up get FREE training on How to make your business run without you by summer https://t.co/MJfw025v2z,First 100 people to sign up get FREE training on How to make your business run without you by summer
137,"RT @kscheib: Today in ""bright ideas from Orthodox Church officials, part 1"": 

https://t.co/CtnPPsJP3F",Today in bright ideas from Orthodox Church officials part 1
138,RT @IAmSoSmart: Smart guy on @rushlimbaugh just said she was having a seizure as Hillary stepped away from the security post. I bet that's…,Smart guy on just said she was having a seizure as Hillary stepped away from the security post I bet thats
139,RT @Honest_Hillary: Can't buy what ain't for sale. https://t.co/22bc1Kf2v7,Cant buy what aint for sale
140,RT @RealRupertX: Puss in boots ? #RenameMillionWomenMarch https://t.co/dARQwcU3Kq,Puss in boots
141,RT @TellyStern: By blaming anyone other than  terrorists Obama dehumanizes Muslims by denying their free will. Kinda #Islamophobic? https:/…,By blaming anyone other than  terrorists Obama dehumanizes Muslims by denying their free will Kinda
142,"RT @golubeerji: There goes the legitimate reason to keep drinking Wine / Whiskey all day. 😒
#ChristmasAftermath",There goes the legitimate reason to keep drinking Wine  Whiskey all day
143,Pretty much every single Hillary's statement. https://t.co/zZtLaVCQYo,Pretty much every single Hillarys statement
144,RT @tokenpet: This Article Is A True Standout If You're Getting A Pet As A Gift: Caring For A Bundle Of Joy https://t.co/3XWF6nm19s #pets #…,This Article Is A True Standout If Youre Getting A Pet As A Gift Caring For A Bundle Of Joy
145,#FightClub #TylerDurden’s 16 Quotes That Can Help You To Be Truly Free #movie #BradPitt #quote,16 Quotes That Can Help You To Be Truly Free
146,RT @Quinntessence_: #ItsRiskyTo not look both ways... https://t.co/IRq9rITFNT,not look both ways
147,RT @wchrisg0528: If you had known about the trade Federation blockading Naboo would you send the Jedi's in? #RejectedDebateTopics,If you had known about the trade Federation blockading Naboo would you send the Jedis in
148,RT @FoodieStrid: I won't leave my house without making the bed. Trait of my Mother that was instilled in me. https://t.co/zrheHmfnqz,I wont leave my house without making the bed Trait of my Mother that was instilled in me
149,RT @Markallenjobe1: CLEPTOMANIAC CLINTON also took items from the state dept before she left. ( reported on FOX &amp;friends ) this morning. Hr…,CLEPTOMANIAC CLINTON also took items from the state dept before she left  reported on FOX  friends  this morning Hr
150,RT @WorldOfHashtags: Join us in 15 minutes! https://t.co/26BxxNrLTe,Join us in 15 minutes
151,RT @jojokejohn: and has now oozed from the gop to create the neoliberal DNC turds of a feather https://t.co/LbaVnjUU4z,and has now oozed from the gop to create the neoliberal DNC turds of a feather
152,#WeedsIllegalBut big pharma has people addicted any dying,big pharma has people addicted any dying
153,RT @BoogsMalone: You need a hook on that? https://t.co/iYoOE5IIE4  #hooks,You need a hook on that
154,RT @Netjeretkhau: Beg for RT's #BeUnclassyIn4Words,Beg for RTs
155,RT @AnitaLea1: https://t.co/ixotdKhSLF,
156,"RT @theleftfails: Report: WA Mall Shooter Was Not U.S. Citizen, But Voted 3 Times. Typical #Democrat. https://t.co/kjOC6CGHs0",Report WA Mall Shooter Was Not US Citizen But Voted 3 Times Typical
157,RT @kevinhoagyn: L.A. Times Surprised to Find Diversity Among Trump Supporters | Fix This Nation .com https://t.co/lxnJIqnG20,LA Times Surprised to Find Diversity Among Trump Supporters  Fix This Nation com
158,RT @STL_Blonde: Hillary was right about #BasketOfDeplorables. She apologized for the most truthful thing she's said this campaign. #RedEye,Hillary was right about She apologized for the most truthful thing shes said this campaign
159,RT @jadedsweetangel: #ToDoListBeforeChristmas get on the naughty list,get on the naughty list
160,"RT @JCoIeNO: It ain't a secret, but it ain't your business either",It aint a secret but it aint your business either
161,RT @FeministaJones: https://t.co/3P8lFIuxoo,
162,"RT @Conservatexian: News post: ""House GOP abruptly pulls troubled health care bill"" https://t.co/uACPcRjmzW",News post House GOP abruptly pulls troubled health care bill
163,RT @NiemaMovassat: Tabubruch in #SachsenAnhalt: #CDU stimmt mit #AfD. Lockerungsübungen für die Zusammenarbeit nach der Wahl? https://t.co/…,Tabubruch in stimmt mit Lockerungsbungen fr die Zusammenarbeit nach der Wahl
164,RT @steph93065: What do Americans call people/entities attempting to destroy the President of the United States after a democratic election…,What do Americans call peopleentities attempting to destroy the President of the United States after a democratic election
165,"RT @roycan79: BREAKING : NBC Reports Rex Tillerson to be Named Secretary of State 
https://t.co/eKfAHTDsrj https://t.co/BMZoP9EluO",BREAKING  NBC Reports Rex Tillerson to be Named Secretary of State
166,"Choosing a long-term energetics partner between Iran and Gulf Countries, I'd take those who don't ask for nuclear power  #GulfStatesTalks",Choosing a longterm energetics partner between Iran and Gulf Countries Id take those who dont ask for nuclear power
167,"RT @rapstationradio: #NowPlaying: Redman &amp; JayceeOh on @RAPStationRadio #JAYCEEOH,#therealredman https://t.co/NGJj8gF9G7",Redman   JayceeOh on
168,"RT @hlwegley: #FBI dispute with #DNC over #hacked servers fuels doubt on #Russia role
https://t.co/nkw2RuCYxL",dispute with over servers fuels doubt on
169,RT @gerfingerpoken: Rahmbo's Murdergate Scandal: The payment of hush money in Chicago teen's murder https://t.co/wSeFmzyFqi - https://t.co/…,Rahmbos Murdergate Scandal The payment of hush money in Chicago teens murder
170,RT @stpeteyontweety: MOFO: Move Out Flatulent One #AlternativeAcronymInterpretations,MOFO Move Out Flatulent One
171,"If you can't find your better half, try finding your better two quarters",If you cant find your better half try finding your better two quarters
172,why are they in bikini?? http://t.co/iF2zln6m4n,why are they in bikini
173,"RT @TommyfromMalden: @SpecialKMB1969 @rsultzba @TheDonaldNews @TraceyTheisen @realDonaldTrump
SOROS&amp; #CROOKEDHillary CAPABLE
&amp; PROBABLY… ",CAPABLE   PROBABLY
174,RT @BIZPACReview: Such sore losers! Mormon Tabernacle Choir member martyrs herself over Trump inauguration https://t.co/wILeOrotcl https://…,Such sore losers Mormon Tabernacle Choir member martyrs herself over Trump inauguration
175,Clinton's debate experience could shape encounter with Trump https://t.co/sjk3WRSKws,Clintons debate experience could shape encounter with Trump
176,RT @CoyHamp: Does ANYONE really care what Obama considers a personal insult?? https://t.co/rifWJp6pQU,Does ANYONE really care what Obama considers a personal insult
177,A thousand disappointments in the past cannot equal the power of one positive action right now. Go ahead,A thousand disappointments in the past cannot equal the power of one positive action right now Go ahead
178,RT @Ssolo_65: #MyEmmyNominationWouldBe matatu,matatu
179,"How fucked up our country will be if Hillary wins in 2016 and Trump wins in 2020
Or vise versa",How fucked up our country will be if Hillary wins in 2016 and Trump wins in 2020 Or vise versa
180,She should be accountable for all her wrongdoings #HillaryForPrison2016 https://t.co/TVeySz54Dh,She should be accountable for all her wrongdoings
181,"RT @deray: I think everyone should watch #BlackPanthersPBS. It helped me reflect on the current movement, thinking about infrastructure dif…",I think everyone should watch It helped me reflect on the current movement thinking about infrastructure dif
182,Patience is something you admire in the driver behind you and scorn in the one ahead.,Patience is something you admire in the driver behind you and scorn in the one ahead
